date,ticker,price
2024-01-01,AAPL,149.36240770307788
2024-01-02,AAPL,147.40155939497933
2024-01-03,AAPL,147.4196849789275
2024-01-04,AAPL,146.62651945560785
2024-01-05,AAPL,145.90992673065455
2024-01-06,AAPL,145.310595028482
2024-01-07,AAPL,147.0426547357868
2024-01-08,AAPL,146.86856537520697
2024-01-09,AAPL,147.02005572172536
2024-01-10,AAPL,147.3700405620744
2024-01-11,AAPL,148.16080928759908
2024-01-12,AAPL,148.28069851261432
2024-01-13,AAPL,147.88860384327302
2024-01-14,AAPL,147.00696129877525
2024-01-15,AAPL,147.20400139650562
2024-01-16,AAPL,147.35428699196322
2024-01-17,AAPL,149.356171493096
2024-01-18,AAPL,148.26283281470094
2024-01-19,AAPL,147.18447057611928
2024-01-20,AAPL,146.8140161170254
